"GHO","PUBLISHSTATE","YEAR","REGION","AGEGROUP","SEX","Display Value","Numeric","Low","High","Comments"
"LIFE_0000000031","PUBLISHED","1990","WPR","AGE10-14","MLE","93996.1","93996.09000","","",""
"LIFE_0000000034","PUBLISHED","2000","WPR","AGE50-54","FMLE","2718602","2718602.00000","","",""
"LIFE_0000000029","PUBLISHED","2012","WPR","AGE35-39","MLE","0.001373","0.00137","","",""
"LIFE_0000000034","PUBLISHED","2000","WPR","AGE95-99","BTSX","9744.4","9744.42300","","",""
"LIFE_0000000032","PUBLISHED","1990","WPR","AGE40-44","BTSX","1319.9","1319.85000","","",""
"LIFE_0000000035","PUBLISHED","2000","WPR","AGE85-89","MLE","4.8","4.78268","","",""
"LIFE_0000000035","PUBLISHED","2000","WPR","AGE70-74","MLE","11.1","11.14691","","",""
"LIFE_0000000032","PUBLISHED","2000","WPR","AGE100PLUS","MLE","243.2","243.21290","","",""
"LIFE_0000000032","PUBLISHED","2013","WPR","AGE15-19","MLE","273.9","273.89650","","",""
"LIFE_0000000034","PUBLISHED","2000","WPR","AGE90-94","MLE","25165.5","25165.53000","","",""
"LIFE_0000000030","PUBLISHED","1990","WPR","AGE30-34","MLE","0.009824","0.00982","","",""
"LIFE_0000000034","PUBLISHED","2000","WPR","AGE25-29","BTSX","4829273","4829273.00000","","",""
"LIFE_0000000034","PUBLISHED","2000","WPR","AGE10-14","BTSX","6265119","6265119.00000","","",""
"LIFE_0000000032","PUBLISHED","2000","WPR","AGE15-19","MLE","439.7","439.68200","","",""
"LIFE_0000000035","PUBLISHED","1990","WPR","AGE95-99","FMLE","2.7","2.71650","","",""
"LIFE_0000000031","PUBLISHED","2013","WPR","AGE50-54","MLE","93280.6","93280.62000","","",""
"LIFE_0000000029","PUBLISHED","2013","WPR","AGE60-64","MLE","0.014984","0.01498","","",""
"LIFE_0000000029","PUBLISHED","1990","WPR","AGELT1","FMLE","0.038893","0.03889","","",""
"LIFE_0000000033","PUBLISHED","2013","WPR","AGE60-64","BTSX","431241.8","431241.80000","","",""
"LIFE_0000000030","PUBLISHED","2013","WPR","AGE70-74","MLE","0.182316","0.18232","","",""
"LIFE_0000000033","PUBLISHED","2013","WPR","AGE1-4","FMLE","394672.3","394672.30000","","",""
"LIFE_0000000031","PUBLISHED","2000","WPR","AGE25-29","BTSX","95042.2","95042.18000","","",""
"LIFE_0000000029","PUBLISHED","2012","WPR","AGE40-44","FMLE","0.001473","0.00147","","",""
"LIFE_0000000029","PUBLISHED","2013","WPR","AGE90-94","MLE","0.263953","0.26395","","",""
"LIFE_0000000035","PUBLISHED","2012","WPR","AGE100PLUS","BTSX","2.6","2.63513","","",""
"LIFE_0000000032","PUBLISHED","2013","WPR","AGE65-69","BTSX","8018.4","8018.43000","","",""
"LIFE_0000000035","PUBLISHED","2012","WPR","AGE65-69","MLE","15.4","15.39200","","",""
"LIFE_0000000035","PUBLISHED","1990","WPR","AGELT1","FMLE","71.8","71.79485","","",""
"LIFE_0000000035","PUBLISHED","1990","WPR","AGE35-39","MLE","38.1","38.09695","","",""
"LIFE_0000000034","PUBLISHED","2012","WPR","AGE70-74","MLE","855836.9","855836.90000","","",""
"LIFE_0000000034","PUBLISHED","2012","WPR","AGE85-89","MLE","120296.6","120296.60000","","",""
"LIFE_0000000034","PUBLISHED","1990","WPR","AGE55-59","MLE","1706500","1706500.00000","","",""
"LIFE_0000000033","PUBLISHED","2012","WPR","AGE90-94","MLE","29466.2","29466.23000","","",""
"LIFE_0000000031","PUBLISHED","2000","WPR","AGE55-59","BTSX","87583.1","87583.07000","","",""
"LIFE_0000000032","PUBLISHED","2013","WPR","AGE20-24","FMLE","266.7","266.74440","","",""
"LIFE_0000000032","PUBLISHED","2012","WPR","AGE95-99","MLE","2154","2154.00800","","",""
"LIFE_0000000031","PUBLISHED","2000","WPR","AGE40-44","BTSX","92933","92933.02000","","",""
"LIFE_0000000030","PUBLISHED","2012","WPR","AGELT1","BTSX","0.013578","0.01358","","",""
"LIFE_0000000030","PUBLISHED","2000","WPR","AGE45-49","BTSX","0.018304","0.01830","","",""
"LIFE_0000000030","PUBLISHED","2000","WPR","AGE60-64","BTSX","0.070983","0.07098","","",""
"LIFE_0000000029","PUBLISHED","2013","WPR","AGELT1","BTSX","0.013136","0.01314","","",""
"LIFE_0000000032","PUBLISHED","2000","WPR","AGE75-79","FMLE","14564.8","14564.79000","","",""
"LIFE_0000000032","PUBLISHED","1990","WPR","AGE65-69","MLE","10755.5","10755.50000","","",""
"LIFE_0000000031","PUBLISHED","2013","WPR","AGELT1","FMLE","100000","100000.00000","","",""
"LIFE_0000000032","PUBLISHED","2013","WPR","AGE30-34","MLE","490.5","490.51890","","",""
"LIFE_0000000032","PUBLISHED","2013","WPR","AGE5-9","FMLE","175.6","175.59210","","",""
"LIFE_0000000032","PUBLISHED","1990","WPR","AGE100PLUS","BTSX","374.4","374.37300","","",""
"LIFE_0000000031","PUBLISHED","2000","WPR","AGE80-84","FMLE","48819.3","48819.27000","","",""
"LIFE_0000000030","PUBLISHED","2000","WPR","AGE100PLUS","FMLE","1","1.00000","","",""
"LIFE_0000000033","PUBLISHED","2013","WPR","AGE25-29","MLE","485540","485540.00000","","",""
"LIFE_0000000034","PUBLISHED","1990","WPR","AGE15-19","FMLE","5754095","5754095.00000","","",""
"LIFE_0000000035","PUBLISHED","1990","WPR","AGE25-29","FMLE","51.5","51.48145","","",""
"LIFE_0000000035","PUBLISHED","2012","WPR","AGE70-74","FMLE","14.4","14.40475","","",""
"LIFE_0000000031","PUBLISHED","1990","WPR","AGE20-24","BTSX","93563","93562.98000","","",""
"LIFE_0000000029","PUBLISHED","1990","WPR","AGE95-99","MLE","0.404605","0.40461","","",""
"LIFE_0000000035","PUBLISHED","1990","WPR","AGE10-14","FMLE","65.8","65.78959","","",""
"LIFE_0000000032","PUBLISHED","1990","WPR","AGE15-19","BTSX","429.7","429.70440","","",""
"LIFE_0000000033","PUBLISHED","2012","WPR","AGE65-69","FMLE","415950.2","415950.20000","","",""
"LIFE_0000000031","PUBLISHED","2013","WPR","AGE1-4","BTSX","98701.8","98701.75000","","",""
"LIFE_0000000033","PUBLISHED","1990","WPR","AGE10-14","BTSX","470755.4","470755.40000","","",""
"LIFE_0000000030","PUBLISHED","2012","WPR","AGELT1","FMLE","0.012333","0.01233","","",""
